file	prim_1	dual	prim_m	gap

tb2ct500_3.txt	26016.000	26016.000	55265.000	0.00%	
tb1ct400_2.txt	17054.000	17054.000	32607.000	0.00%	
tb2ct500_1.txt	9262.000	8268.000	34010.000	12.02%	
tb2ct500_2.txt	20445.000	20445.000	47247.000	0.00%	
tb2ct800_1.txt	11951.000	10330.000	154507.000	15.69%	
tb3ct2000_2.txt	77846.000	77846.000	597934.000	0.00%	
tb8ch100_1.txt	9973.000	9973.000	8987.000	0.00%	
tb8ch300_2.txt	22672.000	22672.000	27926.000	0.00%	
tb8ch200_2.txt	18064.000	18064.000	17715.000	0.00%	
tb3ct2000_5.txt	83092.000	83092.000	591891.000	0.00%	
tb1ct100_2.txt	3829.000	3829.000	8017.000	0.00%	
tb1ct400_3.txt	25092.000	25092.000	27959.000	0.00%	
tb8ch500_2.txt	39511.000	39511.000	54440.000	0.00%	
tb1ct200_1.txt	5316.000	5316.000	9861.000	0.00%	
tb8ch400_1.txt	33094.000	33094.000	34192.000	0.00%	
tb8ch200_1.txt	16475.000	16475.000	21978.000	0.00%	
tb1ct300_2.txt	14876.000	14876.000	26157.000	0.00%	
tb1ct200_2.txt	13753.000	13753.000	16765.000	0.00%	
tb8ch500_1.txt	39233.000	39233.000	59832.000	0.00%	
tb1ct100_3.txt	6302.000	6302.000	8158.000	0.00%	
tb8ch100_0.txt	9355.000	9355.000	9497.000	0.00%	
tb8ch200_0.txt	16624.000	16624.000	21960.000	0.00%	
tb2ct600_1.txt	9391.000	9036.000	77399.000	3.93%	
tb8ch300_1.txt	27522.000	27522.000	25138.000	0.00%	
tb3ct1000_1.txt	15151.000	11288.000	221922.000	34.22%	
tb3ct2000_3.txt	85892.000	85892.000	584110.000	0.00%	
tb8ch500_0.txt	42178.000	42178.000	54132.000	0.00%	
tb3ct2000_1.txt	22454.000	13016.000	536905.000	72.51%	
tb2ct700_1.txt	10876.000	9786.000	119663.000	11.14%	
tb1ct400_1.txt	7417.000	7413.000	15499.000	0.05%	
tb3ct900_1.txt	12483.000	10916.000	190520.000	14.36%	
tb1ct100_1.txt	3790.000	3790.000	4855.000	0.00%	
tb8ch400_2.txt	30926.000	30926.000	34834.000	0.00%	
tb8ch100_2.txt	9970.000	9970.000	10948.000	0.00%	
tb1ct200_3.txt	10919.000	10919.000	16891.000	0.00%	
tb1ct300_1.txt	6478.000	6475.000	12933.000	0.05%	
tb1ct300_3.txt	13299.000	13299.000	22147.000	0.00%	
tb8ch400_0.txt	35615.000	35615.000	37415.000	0.00%	
tb8ch300_0.txt	23708.000	23708.000	26774.000	0.00%	
tb3ct2000_4.txt	80838.000	80838.000	595226.000	0.00%	
size	p1_avg	pm_avg	rank1	rankm

100	7203.167	8410.333	1.17	1.83
200	13525.167	17528.333	1.17	1.83
300	18092.500	23512.500	1.17	1.83
400	24866.333	30417.667	1.00	2.00
500	29440.833	50821.000	1.00	2.00
600	9391.000	77399.000	1.00	2.00
700	10876.000	119663.000	1.00	2.00
800	11951.000	154507.000	1.00	2.00
900	12483.000	190520.000	1.00	2.00
1000	15151.000	221922.000	1.00	2.00
2000	70024.400	581213.200	1.00	2.00
